ShipmentID,SupplierID,ProductID,WarehouseID,OrderDate,ExpectedDate,ActualDeliveryDate,OrderQty,ReceivedQty,DefectQty,UnitCost,TotalCost,OrderPriority,ShippingMode
SHP000025,SUP011,PRD006,WH01,2025-02-07,2025-02-15,2025-02-13,858,857,22,15.95,13685.1,High,Road
SHP000026,SUP017,PRD013,WH06,2024-05-31,2024-06-14,2024-06-14,172,170,2,60.82,10461.04,Medium,Sea
SHP000027,SUP014,PRD002,WH04,2024-02-23,2024-03-10,2024-03-09,751,740,29,122.47,91974.97,Medium,Road
SHP000028,SUP020,PRD001,WH02,2024-04-29,2024-05-09,2024-05-13,84,84,1,113.3,9517.2,Medium,Sea
SHP000029,SUP019,PRD014,WH02,2025-11-03,2025-11-16,2025-11-17,823,808,42,25.42,20920.66,Medium,Road
SHP000030,SUP007,PRD009,WH05,2025-09-19,2025-10-08,2025-10-08,905,894,1,84.92,76852.6,Low,Sea
SHP000031,SUP013,PRD024,WH03,2025-08-09,2025-08-14,2025-08-16,723,722,16,34.28,24784.44,Medium,Rail
SHP000032,SUP018,PRD011,WH03,2025-09-16,2025-09-27,2025-09-25,513,509,12,138.63,71117.19,Medium,Rail
SHP000033,SUP014,PRD006,WH04,2025-02-23,2025-02-26,2025-02-26,209,206,7,113.0,23617.0,Medium,Road
SHP000034,SUP001,PRD014,WH02,2025-02-25,2025-03-14,2025-03-15,237,237,4,101.31,24010.47,Medium,Road
SHP000035,SUP007,PRD024,WH03,2024-04-13,2024-04-16,2024-04-14,830,815,22,114.73,95225.9,Medium,Sea
SHP000036,SUP008,PRD006,WH06,2024-09-10,2024-09-29,2024-09-30,12,12,0,28.42,341.04,Medium,Road
SHP000037,SUP018,PRD020,WH04,2024-08-14,2024-08-26,2024-08-29,739,734,31,134.8,99617.2,High,Road
SHP000038,SUP009,PRD017,WH06,2024-04-21,2024-05-10,2024-05-10,645,644,11,45.32,29231.4,Low,Air
SHP000039,SUP001,PRD003,WH02,2025-05-24,2025-05-27,2025-05-25,36,36,0,101.76,3663.36,Medium,Road
SHP000040,SUP017,PRD022,WH03,2025-04-17,2025-05-02,2025-05-02,260,256,7,49.9,12974.0,Medium,Road
SHP000041,SUP019,PRD014,WH04,2024-04-08,2024-04-28,2024-04-29,204,201,2,28.43,5799.72,Medium,Road
SHP000042,SUP006,PRD018,WH04,2024-06-01,2024-06-19,2024-06-20,181,180,1,115.16,20843.96,Medium,Road
SHP000043,SUP003,PRD003,WH06,2024-12-03,2024-12-17,2024-12-15,565,562,0,99.18,56036.7,Medium,Road
SHP000044,SUP005,PRD018,WH04,2024-06-11,2024-06-23,2024-06-23,766,766,12,24.77,18973.82,Medium,Road
SHP000045,SUP002,PRD007,WH03,2025-11-11,2025-11-28,2025-11-29,399,393,6,85.71,34198.29,High,Rail
SHP000046,SUP020,PRD020,WH05,2024-06-09,2024-06-29,2024-06-30,636,626,22,79.17,50352.12,Low,Road
SHP000047,SUP004,PRD012,WH01,2025-08-02,2025-08-18,2025-08-16,485,481,9,94.24,45706.4,Medium,Road
SHP000048,SUP010,PRD010,WH01,2025-02-01,2025-02-07,2025-02-08,722,721,3,12.64,9126.08,Medium,Air
SHP000049,SUP010,PRD020,WH02,2024-10-03,2024-10-22,2024-10-20,751,740,1,64.95,48777.45,Low,Road
SHP000050,SUP011,PRD007,WH05,2025-05-18,2025-05-30,2025-05-31,211,208,2,136.47,28795.17,Low,Sea
SHP000051,SUP016,PRD003,WH03,2025-01-26,2025-02-05,2025-02-07,659,650,14,115.17,75897.03,Medium,Rail
SHP000052,SUP017,PRD023,WH04,2024-05-14,2024-05-22,2024-05-26,142,141,5,137.88,19578.96,Medium,Road
SHP000053,SUP016,PRD018,WH03,2024-07-13,2024-07-30,2024-07-31,585,579,20,80.99,47379.15,Medium,Rail
SHP000054,SUP007,PRD025,WH01,2025-02-04,2025-02-11,2025-02-10,741,733,0,101.67,75337.47,Low,Road
SHP000055,SUP016,PRD006,WH05,2025-10-01,2025-10-12,2025-10-15,913,901,35,67.77,61874.01,Medium,Road
SHP000056,SUP003,PRD003,WH06,2024-02-02,2024-02-11,2024-02-10,823,822,17,37.1,30533.3,Medium,Road
SHP000057,SUP016,PRD004,WH03,2025-11-18,2025-11-21,2025-11-24,511,511,15,95.63,48866.93,Medium,Sea
SHP000058,SUP008,PRD020,WH04,2025-04-04,2025-04-14,2025-04-14,203,203,2,19.49,3956.47,Low,Road
SHP000059,SUP012,PRD013,WH02,2025-04-14,2025-04-30,2025-05-02,673,664,17,130.41,87765.93,High,Air
SHP000060,SUP003,PRD011,WH01,2025-01-09,2025-01-29,2025-01-28,455,450,9,147.12,66939.6,High,Road
SHP000061,SUP017,PRD014,WH03,2024-01-22,2024-02-08,2024-02-08,245,245,8,49.57,12144.65,Low,Road
SHP000062,SUP018,PRD002,WH01,2025-10-31,2025-11-07,2025-11-10,607,597,28,7.92,4807.44,Medium,Road
SHP000063,SUP011,PRD001,WH04,2024-02-07,2024-02-15,2024-02-13,364,360,2,67.73,24653.72,Medium,Rail
SHP000064,SUP004,PRD008,WH03,2024-08-17,2024-08-27,2024-08-27,137,136,2,24.28,3326.36,Medium,Road
SHP000065,SUP016,PRD013,WH04,2024-12-30,2025-01-13,2025-01-11,798,790,11,63.84,50944.32,Low,Air
SHP000066,SUP017,PRD024,WH01,2025-07-16,2025-08-05,2025-08-06,145,145,2,41.77,6056.65,Low,Sea
SHP000067,SUP009,PRD020,WH04,2025-03-13,2025-04-02,2025-04-04,371,369,7,126.23,46831.33,High,Sea
SHP000068,SUP006,PRD023,WH04,2024-10-09,2024-10-26,2024-10-25,571,566,9,90.27,51544.17,Medium,Air
SHP000069,SUP020,PRD002,WH04,2024-01-27,2024-02-01,2024-02-04,972,960,25,32.31,31405.32,Medium,Sea
SHP000070,SUP002,PRD010,WH05,2024-08-13,2024-08-25,2024-08-27,247,244,5,72.93,18013.71,Medium,Road
SHP000071,SUP009,PRD009,WH01,2024-10-03,2024-10-15,2024-10-16,947,945,3,11.83,11203.01,Medium,Road
SHP000072,SUP006,PRD002,WH02,2025-08-31,2025-09-17,2025-09-15,263,262,3,86.94,22865.22,Medium,Rail
SHP000073,SUP003,PRD025,WH01,2024-10-10,2024-10-16,2024-10-15,519,516,0,109.56,56861.64,Low,Sea
SHP000074,SUP020,PRD006,WH04,2025-04-25,2025-05-09,2025-05-07,507,498,11,80.47,40798.29,Medium,Rail
SHP000075,SUP006,PRD002,WH04,2025-03-28,2025-04-07,2025-04-06,374,368,0,60.56,22649.44,Medium,Rail
SHP000076,SUP007,PRD019,WH05,2025-10-20,2025-11-02,2025-11-04,166,165,2,114.11,18942.26,Low,Road
SHP000077,SUP001,PRD003,WH04,2025-05-30,2025-06-10,2025-06-10,230,229,0,36.88,8482.4,Low,Air
SHP000078,SUP001,PRD016,WH04,2025-06-30,2025-07-13,2025-07-11,134,133,0,13.99,1874.66,Low,Road
SHP000079,SUP005,PRD015,WH03,2024-07-10,2024-07-15,2024-07-15,175,173,0,124.09,21715.75,Medium,Sea
SHP000080,SUP006,PRD010,WH06,2024-02-18,2024-03-05,2024-03-03,50,50,0,95.47,4773.5,Medium,Road
SHP000081,SUP013,PRD010,WH02,2025-05-26,2025-06-06,2025-06-07,165,165,6,147.32,24307.8,Low,Road
SHP000082,SUP002,PRD002,WH02,2024-01-17,2024-01-20,2024-01-20,672,669,19,8.9,5980.8,Low,Road
SHP000083,SUP015,PRD017,WH01,2024-06-20,2024-07-02,2024-07-02,749,748,34,110.65,82876.85,Medium,Road
SHP000084,SUP015,PRD007,WH04,2024-08-07,2024-08-26,2024-08-27,646,646,11,42.35,27358.1,Medium,Air
SHP000085,SUP013,PRD024,WH04,2024-06-06,2024-06-19,2024-06-19,741,735,13,53.33,39517.53,High,Road
SHP000086,SUP014,PRD010,WH04,2025-04-21,2025-05-01,2025-04-30,108,108,2,29.64,3201.12,Low,Road
SHP000087,SUP007,PRD010,WH02,2024-02-15,2024-03-06,2024-03-07,931,929,0,48.93,45553.83,Medium,Road
SHP000088,SUP014,PRD008,WH05,2025-01-07,2025-01-15,2025-01-19,910,897,23,120.72,109855.2,Medium,Road
SHP000089,SUP010,PRD008,WH01,2025-06-01,2025-06-05,2025-06-05,739,726,0,49.93,36898.27,Medium,Sea
SHP000090,SUP017,PRD015,WH06,2024-04-08,2024-04-20,2024-04-18,607,607,14,125.63,76257.41,Medium,Road
SHP000091,SUP014,PRD024,WH03,2024-02-06,2024-02-10,2024-02-14,94,94,3,96.18,9040.92,High,Road
SHP000092,SUP008,PRD006,WH03,2024-10-06,2024-10-21,2024-10-19,980,977,27,50.71,49695.8,Medium,Rail
SHP000093,SUP004,PRD013,WH05,2024-12-14,2024-12-24,2024-12-24,497,497,4,29.15,14487.55,Low,Road
SHP000094,SUP016,PRD008,WH03,2025-05-11,2025-05-15,2025-05-16,17,17,0,147.66,2510.22,Medium,Road
SHP000095,SUP013,PRD025,WH06,2024-10-28,2024-11-16,2024-11-19,982,966,26,5.01,4919.82,High,Air
SHP000096,SUP020,PRD004,WH05,2024-06-29,2024-07-12,2024-07-12,549,548,8,57.11,31353.39,Medium,Rail
SHP000097,SUP018,PRD008,WH02,2025-08-29,2025-09-08,2025-09-12,523,515,26,93.64,48973.72,Medium,Sea
SHP000098,SUP014,PRD010,WH06,2024-04-08,2024-04-12,2024-04-15,299,298,10,99.43,29729.57,Medium,Road
SHP000099,SUP018,PRD023,WH06,2025-11-30,2025-12-15,2025-12-18,254,253,3,11.45,2908.3,Medium,Sea
SHP000100,SUP005,PRD015,WH04,2024-04-25,2024-05-09,2024-05-07,304,304,8,3.07,933.28,Medium,Road
SHP000101,SUP009,PRD021,WH02,2024-07-09,2024-07-23,2024-07-25,309,307,5,126.37,39048.33,Medium,Road
SHP000102,SUP003,PRD009,WH03,2024-09-09,2024-09-12,2024-09-12,260,258,3,105.93,27541.8,Medium,Road
SHP000103,SUP008,PRD002,WH02,2024-06-09,2024-06-16,2024-06-18,382,381,8,53.28,20352.96,Medium,Road
SHP000104,SUP020,PRD008,WH02,2024-09-12,2024-09-22,2024-09-26,927,914,10,144.07,133552.89,Medium,Sea
SHP000105,SUP010,PRD024,WH05,2024-11-18,2024-12-03,2024-12-04,207,206,0,35.61,7371.27,Low,Road
SHP000106,SUP019,PRD007,WH06,2024-05-07,2024-05-21,2024-05-27,169,169,6,64.26,10859.94,High,Road
SHP000107,SUP003,PRD002,WH04,2024-01-18,2024-01-21,2024-01-24,632,625,5,88.01,55622.32,Low,Road
SHP000108,SUP011,PRD018,WH06,2025-07-19,2025-08-04,2025-08-04,126,126,0,131.69,16592.94,High,Sea
SHP000109,SUP011,PRD014,WH03,2025-07-23,2025-08-10,2025-08-10,842,831,21,33.86,28510.12,Medium,Road
SHP000110,SUP017,PRD017,WH04,2024-11-18,2024-11-27,2024-11-30,528,520,17,7.01,3701.28,Low,Sea
SHP000111,SUP016,PRD014,WH05,2025-11-16,2025-12-03,2025-12-05,881,878,8,97.75,86117.75,Medium,Sea
SHP000112,SUP007,PRD025,WH03,2025-09-17,2025-09-26,2025-09-27,310,307,2,110.12,34137.2,Medium,Sea
SHP000113,SUP004,PRD019,WH02,2024-10-14,2024-10-20,2024-10-19,531,523,7,105.78,56169.18,Low,Road
SHP000114,SUP019,PRD005,WH01,2025-10-24,2025-11-07,2025-11-11,520,511,18,147.65,76778.0,Medium,Sea
SHP000115,SUP012,PRD011,WH04,2025-09-30,2025-10-09,2025-10-12,971,953,25,133.59,129715.89,Medium,Rail
SHP000116,SUP015,PRD022,WH01,2024-06-03,2024-06-19,2024-06-21,91,91,1,109.8,9991.8,High,Road
SHP000117,SUP011,PRD012,WH03,2025-05-04,2025-05-19,2025-05-19,930,917,10,90.96,84592.8,Low,Air
SHP000118,SUP005,PRD008,WH03,2025-01-20,2025-01-29,2025-01-29,352,349,3,117.55,41377.6,Low,Road
SHP000119,SUP005,PRD023,WH06,2024-04-13,2024-04-30,2024-04-28,306,306,0,25.63,7842.78,Medium,Road
SHP000120,SUP015,PRD019,WH05,2025-01-27,2025-01-30,2025-02-04,141,141,2,9.72,1370.52,High,Road
SHP000121,SUP018,PRD016,WH05,2024-09-02,2024-09-10,2024-09-15,459,457,7,64.61,29655.99,Low,Air
SHP000122,SUP011,PRD022,WH01,2024-06-24,2024-07-08,2024-07-07,698,694,12,4.63,3231.74,High,Sea
SHP000123,SUP012,PRD016,WH04,2024-02-08,2024-02-14,2024-02-12,739,732,11,7.98,5897.22,Low,Road
SHP000124,SUP002,PRD005,WH03,2025-04-21,2025-04-26,2025-05-01,537,528,20,41.17,22108.29,Medium,Road
SHP000125,SUP020,PRD019,WH02,2025-11-12,2025-11-30,2025-11-30,455,454,11,51.96,23641.8,Medium,Air
SHP000126,SUP015,PRD016,WH03,2025-06-21,2025-07-09,2025-07-11,38,38,1,109.06,4144.28,Low,Road
SHP000127,SUP020,PRD009,WH05,2025-02-11,2025-02-26,2025-02-26,949,948,14,39.65,37627.85,Low,Sea
SHP000128,SUP004,PRD013,WH06,2025-06-08,2025-06-17,2025-06-17,181,180,2,84.66,15323.46,Medium,Road
SHP000129,SUP018,PRD024,WH05,2025-05-20,2025-06-02,2025-06-04,278,274,5,44.18,12282.04,Medium,Road
SHP000130,SUP006,PRD005,WH05,2024-02-05,2024-02-22,2024-02-23,708,703,0,121.76,86206.08,High,Sea
SHP000131,SUP019,PRD023,WH06,2025-11-15,2025-11-22,2025-12-01,305,304,6,84.86,25882.3,Low,Sea
SHP000132,SUP011,PRD008,WH03,2024-01-20,2024-02-07,2024-02-06,530,530,11,35.76,18952.8,Low,Road
SHP000133,SUP002,PRD005,WH06,2024-11-16,2024-12-06,2024-12-04,734,721,16,63.67,46733.78,High,Road
SHP000134,SUP008,PRD015,WH06,2025-05-26,2025-06-11,2025-06-13,310,305,8,136.61,42349.1,High,Rail
SHP000135,SUP011,PRD011,WH02,2025-02-03,2025-02-10,2025-02-10,175,175,3,110.05,19258.75,Medium,Rail
SHP000136,SUP005,PRD016,WH02,2025-10-15,2025-10-23,2025-10-24,775,764,0,123.41,95642.75,Medium,Road
SHP000137,SUP018,PRD008,WH06,2025-04-15,2025-04-26,2025-04-24,40,40,0,14.81,592.4,Low,Road
SHP000138,SUP018,PRD018,WH05,2024-05-22,2024-06-06,2024-06-07,74,74,2,132.14,9778.36,Medium,Rail
SHP000139,SUP014,PRD023,WH01,2024-04-01,2024-04-20,2024-04-20,441,435,9,34.93,15404.13,High,Rail
SHP000140,SUP010,PRD020,WH06,2024-12-19,2025-01-07,2025-01-08,331,328,0,31.52,10433.12,Low,Sea
SHP000141,SUP003,PRD016,WH03,2024-02-20,2024-02-25,2024-02-23,808,795,25,46.69,37725.52,Medium,Road
SHP000142,SUP009,PRD004,WH02,2025-10-26,2025-11-13,2025-11-11,409,403,3,39.63,16208.67,High,Air
SHP000143,SUP003,PRD014,WH03,2025-11-28,2025-12-04,2025-12-04,585,578,11,81.55,47706.75,High,Road
SHP000144,SUP011,PRD025,WH03,2025-07-28,2025-07-31,2025-08-04,458,452,9,144.52,66190.16,Medium,Road
SHP000145,SUP012,PRD008,WH05,2024-07-08,2024-07-22,2024-07-22,732,726,16,21.39,15657.48,High,Sea
SHP000146,SUP012,PRD001,WH04,2024-05-04,2024-05-21,2024-05-22,222,220,6,44.29,9832.38,High,Sea
SHP000147,SUP003,PRD023,WH05,2024-05-29,2024-06-04,2024-06-02,19,19,0,132.95,2526.05,Medium,Road
SHP000148,SUP007,PRD011,WH05,2024-11-09,2024-11-23,2024-11-24,214,214,0,98.86,21156.04,High,Road
SHP000149,SUP014,PRD023,WH05,2025-07-23,2025-08-05,2025-08-08,565,560,21,98.88,55867.2,Low,Road
SHP000150,SUP011,PRD025,WH04,2024-12-07,2024-12-26,2024-12-27,675,663,3,126.3,85252.5,Medium,Rail
SHP000151,SUP007,PRD008,WH03,2024-10-31,2024-11-13,2024-11-15,718,711,2,126.05,90503.9,Low,Road
SHP000152,SUP010,PRD017,WH03,2025-11-22,2025-12-02,2025-12-03,182,180,3,9.26,1685.32,Medium,Sea
SHP000153,SUP011,PRD017,WH02,2025-11-12,2025-12-01,2025-12-01,761,756,17,9.08,6909.88,Medium,Road
SHP000154,SUP015,PRD006,WH01,2024-02-23,2024-03-12,2024-03-16,34,34,1,12.39,421.26,Medium,Road
SHP000155,SUP019,PRD002,WH03,2025-03-19,2025-04-01,2025-04-06,598,588,21,38.01,22729.98,Medium,Rail
SHP000156,SUP016,PRD019,WH03,2025-09-04,2025-09-24,2025-09-25,976,960,12,127.9,124830.4,Low,Sea
SHP000157,SUP020,PRD023,WH03,2024-09-20,2024-09-30,2024-10-02,606,598,13,53.91,32669.46,Medium,Sea
SHP000158,SUP012,PRD005,WH05,2024-02-22,2024-03-03,2024-03-02,408,406,9,103.47,42215.76,High,Sea
SHP000159,SUP018,PRD011,WH06,2025-07-25,2025-07-29,2025-08-02,243,242,9,92.04,22365.72,Medium,Road
SHP000160,SUP013,PRD008,WH06,2025-09-11,2025-09-29,2025-10-05,144,144,4,126.56,18224.64,Medium,Rail
SHP000161,SUP005,PRD025,WH02,2024-01-05,2024-01-13,2024-01-15,201,198,0,137.52,27641.52,Medium,Sea
SHP000162,SUP004,PRD013,WH01,2024-04-12,2024-04-17,2024-04-20,471,466,8,142.83,67272.93,Low,Air
SHP000163,SUP014,PRD014,WH03,2024-07-14,2024-07-29,2024-08-04,435,429,10,32.89,14307.15,High,Air
SHP000164,SUP008,PRD010,WH06,2024-12-15,2024-12-19,2024-12-18,764,759,3,88.66,67736.24,High,Road
SHP000165,SUP009,PRD001,WH06,2024-02-16,2024-02-19,2024-02-17,839,830,12,49.5,41530.5,Medium,Sea
SHP000166,SUP019,PRD015,WH04,2025-10-17,2025-11-02,2025-11-06,388,388,10,30.08,11671.04,High,Road
SHP000167,SUP003,PRD022,WH05,2024-09-25,2024-10-02,2024-09-30,310,310,9,89.13,27630.3,Medium,Road
SHP000168,SUP005,PRD020,WH05,2025-01-04,2025-01-23,2025-01-23,69,69,0,78.12,5390.28,Low,Air
SHP000169,SUP018,PRD021,WH02,2025-09-27,2025-10-08,2025-10-10,190,188,2,53.41,10147.9,Low,Road
SHP000170,SUP001,PRD019,WH06,2024-04-15,2024-04-26,2024-04-27,586,579,0,23.72,13899.92,Low,Road
SHP000171,SUP008,PRD007,WH04,2025-10-31,2025-11-08,2025-11-10,97,97,1,83.65,8114.05,Medium,Road
SHP000172,SUP019,PRD016,WH02,2025-10-20,2025-11-04,2025-11-11,599,598,24,44.98,26943.02,Low,Road
SHP000173,SUP017,PRD004,WH06,2025-10-18,2025-10-25,2025-10-23,158,156,4,91.2,14409.6,Low,Road
SHP000174,SUP017,PRD015,WH04,2024-04-29,2024-05-14,2024-05-15,633,631,13,97.61,61787.13,Medium,Rail
SHP000175,SUP011,PRD017,WH02,2025-08-26,2025-09-14,2025-09-17,287,287,4,44.28,12708.36,Low,Road
SHP000176,SUP002,PRD006,WH02,2024-02-27,2024-03-16,2024-03-15,492,487,10,110.32,54277.44,Medium,Road
SHP000177,SUP006,PRD019,WH01,2024-12-11,2024-12-19,2024-12-17,483,476,7,25.18,12161.94,Medium,Road
SHP000178,SUP014,PRD017,WH04,2025-04-18,2025-04-24,2025-04-26,363,362,12,100.54,36496.02,High,Rail
SHP000179,SUP003,PRD024,WH05,2024-04-26,2024-05-15,2024-05-16,322,321,4,53.66,17278.52,High,Sea
SHP000180,SUP012,PRD020,WH04,2024-05-06,2024-05-14,2024-05-18,449,443,4,40.16,18031.84,Medium,Sea
SHP000181,SUP004,PRD017,WH03,2025-01-27,2025-02-08,2025-02-06,944,941,0,45.83,43263.52,High,Road
SHP000182,SUP012,PRD015,WH01,2025-10-02,2025-10-08,2025-10-12,759,747,16,85.62,64985.58,Medium,Air
SHP000183,SUP013,PRD018,WH03,2024-02-27,2024-03-14,2024-03-18,646,638,16,7.74,5000.04,High,Sea
SHP000184,SUP002,PRD024,WH01,2025-09-25,2025-10-11,2025-10-13,413,413,6,128.95,53256.35,Medium,Sea
SHP000185,SUP002,PRD022,WH06,2025-05-27,2025-06-01,2025-06-03,555,546,19,103.85,57636.75,Medium,Rail
SHP000186,SUP015,PRD007,WH04,2024-04-05,2024-04-12,2024-04-17,49,49,1,132.7,6502.3,Low,Sea
SHP000187,SUP017,PRD025,WH05,2025-09-29,2025-10-10,2025-10-11,290,287,10,16.39,4753.1,Low,Sea
SHP000188,SUP007,PRD008,WH03,2024-04-27,2024-05-07,2024-05-06,385,381,6,16.14,6213.9,Medium,Rail
SHP000189,SUP014,PRD013,WH05,2025-07-13,2025-07-26,2025-07-28,675,667,7,59.11,39899.25,Low,Rail
SHP000190,SUP012,PRD019,WH01,2025-08-23,2025-09-08,2025-09-11,306,306,8,134.19,41062.14,High,Rail
SHP000191,SUP017,PRD007,WH02,2025-05-02,2025-05-06,2025-05-06,620,614,18,3.87,2399.4,High,Road
SHP000192,SUP014,PRD022,WH01,2024-08-24,2024-09-11,2024-09-15,323,319,9,25.0,8075.0,High,Road
SHP000193,SUP006,PRD012,WH01,2024-09-28,2024-10-15,2024-10-15,831,822,5,133.04,110556.24,Medium,Rail
SHP000194,SUP019,PRD013,WH05,2024-07-07,2024-07-17,2024-07-18,125,124,4,7.45,931.25,Low,Air
SHP000195,SUP006,PRD018,WH05,2025-03-22,2025-03-28,2025-03-27,384,378,5,81.77,31399.68,Low,Road
SHP000196,SUP018,PRD015,WH06,2025-08-03,2025-08-06,2025-08-07,938,933,30,74.85,70209.3,High,Air
SHP000197,SUP005,PRD016,WH02,2024-09-03,2024-09-06,2024-09-09,173,171,1,127.1,21988.3,Medium,Road
SHP000198,SUP006,PRD019,WH01,2024-03-16,2024-03-29,2024-03-28,315,312,4,67.67,21316.05,Low,Rail
SHP000199,SUP002,PRD021,WH06,2024-06-02,2024-06-08,2024-06-10,776,774,14,116.73,90582.48,Low,Road
SHP000200,SUP008,PRD017,WH03,2025-10-17,2025-10-24,2025-10-25,925,921,25,7.27,6724.75,Medium,Road
SHP000201,SUP015,PRD003,WH06,2025-03-10,2025-03-27,2025-03-30,210,210,8,44.61,9368.1,Low,Sea
SHP000202,SUP015,PRD013,WH04,2024-03-26,2024-04-13,2024-04-14,300,297,18,139.15,41745.0,Low,Road
SHP000203,SUP011,PRD018,WH01,2025-11-27,2025-12-11,2025-12-11,643,633,15,6.3,4050.9,High,Rail
SHP000204,SUP001,PRD013,WH02,2024-10-11,2024-10-25,2024-10-23,60,60,1,82.63,4957.8,Low,Rail
SHP000205,SUP018,PRD012,WH04,2024-08-07,2024-08-16,2024-08-23,183,182,5,58.33,10674.39,Medium,Road
SHP000206,SUP012,PRD009,WH02,2024-03-09,2024-03-24,2024-03-24,432,430,2,95.01,41044.32,High,Road
SHP000207,SUP012,PRD010,WH05,2024-02-16,2024-02-29,2024-02-29,790,787,12,23.54,18596.6,Medium,Air
SHP000208,SUP011,PRD023,WH04,2024-04-03,2024-04-13,2024-04-13,186,186,2,96.52,17952.72,Medium,Road
SHP000209,SUP008,PRD021,WH05,2025-03-28,2025-04-08,2025-04-07,551,550,8,147.84,81459.84,Medium,Sea
SHP000210,SUP007,PRD003,WH02,2024-07-22,2024-08-04,2024-08-05,481,476,9,78.23,37628.63,High,Sea
SHP000211,SUP002,PRD011,WH01,2024-08-05,2024-08-12,2024-08-12,701,695,18,12.86,9014.86,High,Sea
SHP000212,SUP011,PRD009,WH05,2025-04-18,2025-05-04,2025-05-03,879,872,3,38.18,33560.22,Medium,Sea
SHP000213,SUP010,PRD003,WH01,2025-03-07,2025-03-13,2025-03-16,193,193,0,9.37,1808.41,Medium,Sea
SHP000214,SUP003,PRD009,WH06,2024-12-06,2024-12-15,2024-12-16,498,498,11,114.06,56801.88,Medium,Road
SHP000215,SUP020,PRD021,WH05,2025-07-04,2025-07-24,2025-07-23,53,53,2,32.88,1742.64,Medium,Road
SHP000216,SUP010,PRD014,WH01,2025-09-03,2025-09-18,2025-09-20,350,344,3,23.08,8078.0,Medium,Rail
SHP000217,SUP018,PRD016,WH06,2024-10-15,2024-10-26,2024-10-26,494,488,17,29.17,14409.98,Medium,Road
SHP000218,SUP014,PRD002,WH05,2024-09-10,2024-09-16,2024-09-22,13,13,0,137.01,1781.13,Medium,Air
SHP000219,SUP018,PRD024,WH02,2024-12-22,2025-01-03,2025-01-11,271,271,6,69.84,18926.64,Low,Rail
SHP000220,SUP008,PRD016,WH04,2024-01-23,2024-01-27,2024-01-25,610,605,16,59.24,36136.4,Low,Rail
